Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G56700,49.19173122,51.27860197,22.50812719
AT1G56710,0.005115132,0.005981822,0.082068454
AT1G56720,2.789563624,3.040632987,1.745220198
AT1G56730,0,0,0.333914887
AT1G56740,0,0,0.185006897
AT1G56750,0,0,0.185006897
AT1G56760,0,0,0
AT1G56770,0,0,0
AT1G56780,0.126841453,0,0.185006897
AT1G56790,0,0,0.166957443
AT1G56800,0,0,0.370013793
AT1G56810,0.126841453,0,0.185006897
AT1G56820,0,0,0
AT1G56830,0,0,0
AT1G56840,0.253682906,0,0
AT1G56850,0,0,0
AT1G56860,0,0.148333028,0
AT1G56870,0,0,0
AT1G56880,0,0,0
AT1G56890,0,0,0
AT1G56900,0.126841453,0,0
AT1G56910,0,0,0
AT1G56920,0,0.296666055,0
AT1G56930,0,0,0
AT1G56940,0,0,0
AT1G56950,0,0,0
AT1G56960,0,0,0.185006897
AT1G56970,0,0,0
AT1G56980,0,0,0
AT1G56990,0,0,0
AT1G57000,0,0,0
AT1G57010,0,0,0
AT1G57020,0,0,0
AT1G57030,0,0,0
AT1G57040,0,0,0
AT1G57050,0,0,0
AT1G57060,0,0,0
AT1G57070,0,0,0
AT1G57080,0,0,0
AT1G57090,0,0,0
AT1G57100,0,0,0
AT1G57110,0,0,0
AT1G57120,0,0,0
AT1G57130,0,0,0
AT1G57140,0,0,0
AT1G57150,0,0,0
AT1G57160,0,0.148333028,0.55502069
AT1G57170,0,0,0
AT1G57180,0,0,0
AT1G57190,0,0,0
AT1G57200,0,0,0
AT1G57210,0,0,0
AT1G57220,0.253682906,0.741665139,0.370013793
AT1G57230,0,0,0
AT1G57240,0,0,0
AT1G57250,0,0,0
AT1G57260,0,0,0
AT1G57270,0,0,0
AT1G57280,0,0.148333028,0.185006897
AT1G57290,0,0,0
AT1G57300,0,0,0
AT1G57310,0,0,0
AT1G57320,0,0,0
AT1G57330,0,0,0
AT1G57340,0,0.148333028,0.370013793
AT1G57350,0,0,0
AT1G57360,0,0,0
AT1G57370,0,0,0
AT1G57380,0,0,0.185006897
AT1G57390,0,0,0
AT1G57400,0.38052436,1.038331194,0.370013793
AT1G57410,0,0,0
AT1G57420,0,0,0
