"Gene.ID","Col.D.N","Col.DL.N","Col.WL.N","Col.D.F","Col.DL.F","Col.WL.F","Col.D.P","Col.DL.P","Col.WL.P","Col.D.SM","Col.DL.SM","Col.WL.SM"
"AT3G01575",4,0,2,0,0,1,0,0,0,0,0,0
"AT3G01585",4,2,4,1,0,1,0,0,1,0,0,0
"AT3G05040",167,343,469,92,203,76,914,397,446,20,39,34
"AT3G05050",132,292,267,219,322,106,1393,619,594,16,68,64
"AT3G01595",3,1,0,0,2,0,0,0,0,0,0,0
"AT3G05060",149,535,798,156,305,193,1320,844,2023,22,55,124
"AT3G05070",31,68,77,164,186,122,423,208,375,2,30,41
"AT3G05090",478,900,910,342,451,156,2274,952,1103,46,101,86
"AT3G05080",3,0,1,0,0,1,0,0,0,0,0,0
"AT3G01605",0,0,0,0,0,0,0,0,0,0,0,0
"AT3G05100",150,281,332,131,145,48,705,241,150,6,23,21
"AT3G05110",8,0,0,0,5,6,0,2,0,0,1,1
"AT3G05120",173,370,310,356,425,107,1370,550,470,15,72,56
"AT3G05130",12,30,37,29,62,19,213,207,375,4,9,16
"AT3G05140",6,11,18,6,27,13,30,20,37,0,2,10
"AT3G05150",217,65,112,194,29,20,1889,74,63,10,10,6
"AT3G05152",6,0,5,6,4,6,1,0,0,0,0,1
"AT3G05155",263,324,72,225,159,15,830,174,34,9,31,5
"AT3G05160",439,811,691,512,345,124,2411,700,344,27,74,72
"AT3G05165",951,1741,1383,1083,1035,251,5212,2000,875,86,216,133
"AT3G05170",32,60,36,51,55,20,221,92,114,3,7,5
"AT3G05180",95,424,318,93,226,77,221,423,226,8,48,26
"AT3G01615",1,0,0,0,0,0,0,0,0,0,0,0
"AT3G05190",29,24,67,27,21,26,88,42,113,3,5,11
"AT3G05200",417,661,705,236,173,53,1840,376,151,21,33,18
"AT3G05210",67,102,92,116,107,43,396,144,175,8,20,18
"AT3G05220",202,383,288,517,622,202,2976,1548,1734,57,119,143
"AT3G05230",42,107,189,88,112,58,398,159,160,3,12,23
"AT3G05240",8,4,14,2,16,5,27,13,26,0,0,0
"AT3G05250",84,68,53,165,103,47,150,60,40,3,5,13
"AT3G05260",33,15,13,6,7,2,32,0,1,0,1,0
"AT3G05270",55,170,135,151,243,54,718,354,457,11,47,74
"AT3G05280",177,373,300,286,301,151,964,317,384,18,42,52
"AT3G05290",97,165,72,188,137,58,405,160,159,13,21,32
"AT3G05300",1,1,0,1,1,0,0,0,0,0,0,0
"AT3G05310",7,1,0,3,2,1,0,1,0,0,0,2
"AT3G05320",36,40,76,49,35,11,129,35,52,2,5,11
"AT3G05327",3,1,1,2,10,3,10,7,11,0,0,2
"AT3G05330",9,19,40,18,45,33,124,73,241,3,8,26
"AT3G05345",17,97,132,28,95,69,81,83,148,5,20,45
"AT3G05340",38,91,101,20,48,40,109,80,119,7,16,25
"AT3G05350",149,443,575,112,220,116,1079,571,1409,24,60,69
"AT3G05360",67,234,237,56,70,10,203,84,36,5,11,9
"AT3G05365",3,2,1,5,8,8,2,0,2,0,0,0
"AT3G01625",1,0,0,0,0,0,0,0,0,0,0,0
"AT3G05370",66,213,280,45,52,21,104,33,83,4,18,21
"AT3G05380",111,207,174,97,180,45,804,381,468,21,45,34
"AT3G01635",0,0,0,0,1,0,0,0,0,0,0,0
"AT3G05390",15,10,20,30,32,9,110,39,42,1,3,4
"AT3G05400",103,344,116,123,246,36,455,314,95,3,25,11
"AT3G05410",57,218,155,192,208,122,242,206,376,4,25,87
"AT3G05415",26,3,3,9,9,5,0,0,0,0,0,0
"AT3G05420",285,524,805,334,420,248,3174,1186,1980,46,111,162
"AT3G05425",1,2,1,0,3,0,1,0,1,0,0,0
"AT3G05430",28,39,30,30,45,18,170,56,85,2,3,1
"AT3G05440",2,1,0,0,0,0,2,0,0,0,0,0
"AT3G05450",9,2,0,2,9,3,1,0,0,0,0,0
"AT3G01645",1,0,0,0,0,1,0,0,0,0,0,0
"AT3G05460",1,0,0,1,0,2,0,0,0,0,0,0
"AT3G05470",41,53,87,33,42,16,336,75,98,8,10,8
"AT3G05480",24,65,56,19,16,18,64,26,56,0,7,6
"AT3G05490",235,306,517,627,399,247,2929,491,462,40,37,62
"AT3G05500",243,507,344,181,200,68,1881,539,735,18,41,36
"AT3G05510",95,187,157,69,73,30,344,104,147,1,12,15
"AT3G05520",41,92,101,216,215,127,551,258,354,8,40,55
"AT3G05525",44,13,17,2416,1648,1140,22,11,138,9,2,2
"AT3G05530",362,784,868,1049,817,336,3893,1549,2261,76,168,188
"AT3G05540",1,1,0,0,2,1,0,0,0,0,0,0
"AT3G05545",412,877,524,349,552,209,2538,975,1050,48,100,81
"AT3G05550",5,7,11,5,6,7,10,13,7,0,0,2
"AT3G05560",169,544,931,1366,1597,2287,3578,1908,3760,35,193,381
