Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT5G01790,1.06023571,0.001570194,0.004241343,1.071637343,0.000320121,0.000956347,1.182225681,0.007470689,0.01732288
AT5G01800,1.637113057,6.07E-66,3.84E-64,1.280538257,5.12E-44,2.54E-42,1.072987465,9.15E-19,9.39E-18
AT5G01810,0.387520191,0.019425792,0.040871555,-0.013618915,0.920337903,0.940560177,-0.635691117,0.001322605,0.003544981
AT5G01820,-0.695324569,4.54E-05,0.000159695,-0.723576268,7.47E-08,3.70E-07,-1.396751923,5.12E-09,2.70E-08
AT5G00795,-2.252841405,0.807295734,NA,0,1,NA,0,1,NA
AT5G00800,-1.623434081,0.861041829,NA,0,1,NA,0,1,NA
AT5G01830,-0.90160679,0.001358002,0.00370834,-0.362995537,0.207115554,0.298785878,-0.911345218,0.040333556,0.077273914
AT5G01840,0.163828334,0.802090431,0.86551553,2.021984536,1.70E-09,1.02E-08,0.904548584,0.04693704,0.087833342
AT5G00805,-2.163807951,0.815367594,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT5G01850,-0.846229209,0.007487079,0.017461994,0.488485175,0.042337326,0.077861336,1.042129167,0.003506857,0.008696804
AT5G01860,0.288711087,0.975167107,NA,1.126324415,0.903343496,NA,0,1,NA
AT5G01870,-1.774495929,0.000572997,0.00168037,-0.971824043,0.018321521,0.037492117,-0.353356101,0.425608481,0.534756306
AT5G01880,2.396507891,4.06E-11,2.89E-10,3.057145833,1.78E-18,2.35E-17,3.174510994,5.37E-16,4.68E-15
AT5G01881,1.772753931,0.024296621,0.049866073,3.29916601,6.84E-06,2.62E-05,4.651180782,1.16E-09,6.52E-09
AT5G01890,-1.592113886,1.42E-14,1.30E-13,-1.427085897,3.24E-17,3.87E-16,-2.30430308,1.24E-21,1.47E-20
AT5G01895,-0.943183827,0.78460465,NA,2.961385682,0.40616757,NA,2.499063733,0.497257706,NA
AT5G00810,-1.623437878,0.861041507,NA,0,1,NA,0,1,NA
AT5G01900,-2.049332907,0.824508257,NA,1.778965162,0.847232167,NA,0,1,NA
AT5G01910,0.455410811,0.455675449,0.574857212,1.245957362,0.03217517,0.061286488,0.607736915,0.207859153,0.30570464
AT5G01920,-1.224388057,1.06E-19,1.34E-18,-1.234219178,5.77E-26,1.23E-24,-1.35003023,1.40E-19,1.51E-18
AT5G01930,-0.802207654,0.105128839,0.175943436,-0.267421298,0.524001248,0.618135775,-1.200523171,0.016683952,0.035601577
AT5G01940,-0.015044747,0.981419647,0.988561811,0.402138878,0.504839387,0.600882454,0.711898721,0.274530478,0.381906574
AT5G01950,-0.803267418,5.45E-05,0.000189398,-0.617619307,0.000105143,0.000339059,-1.456763719,1.30E-09,7.22E-09
AT5G01960,-1.587049198,1.99E-26,3.60E-25,-1.736636027,1.01E-35,3.55E-34,-0.968766827,4.97E-07,2.14E-06
AT5G01970,-0.350085819,0.028087679,0.056654394,0.098114419,0.572848255,0.660454355,-0.042269241,0.870485398,0.910119083
AT5G01980,-0.725182232,9.64E-05,0.000320987,-0.923766432,4.37E-08,2.23E-07,-1.26846865,4.10E-07,1.78E-06
AT5G01990,-1.928024892,5.30E-21,7.24E-20,-1.68941202,7.63E-20,1.12E-18,-2.515144685,6.65E-13,4.76E-12
AT5G02000,0.594775509,0.602565815,0.709373845,3.609877036,0.01052766,0.02285453,0.637203247,0.697125381,0.773371191
AT5G02010,-0.16219791,0.597520953,0.705415236,0.594375764,0.047458612,0.085886625,0.474921711,0.153661028,0.23867737
AT5G02020,1.103994414,8.94E-13,7.25E-12,-0.790248584,2.17E-06,8.88E-06,1.390923643,7.66E-11,4.72E-10
AT5G02025,2.320802561,0.801388414,NA,3.384388302,0.713618955,NA,5.203135095,0.57235763,NA
AT5G02030,-1.168748103,0.014869422,0.032296568,-1.155320912,0.000705634,0.001983014,-0.704243532,0.060947864,0.109989225
AT5G02040,-1.185790979,2.23E-14,2.01E-13,-0.912805384,6.35E-10,3.97E-09,-0.494697948,0.014668266,0.03176354
AT5G02050,-0.357539096,0.102688532,0.172294313,-0.387001315,0.019465636,0.039515699,0.371491959,0.043162106,0.081759246
AT5G02060,-1.786988859,4.97E-09,2.87E-08,-1.453147253,2.74E-06,1.11E-05,-1.295598995,0.001884028,0.004913747
AT5G02065,-1.711110446,3.00E-05,0.000108319,-2.141699388,9.75E-08,4.75E-07,-1.752524445,0.005383264,0.012878823
AT5G02070,-1.188284041,0.313228458,0.430142721,1.173112613,0.239440499,0.335809059,-0.34515695,0.822977919,0.873944144
AT5G02080,-0.753033823,0.132966987,0.213975429,-0.375583418,0.361818134,0.463569999,0.087188963,0.848075963,0.894577061
AT5G02090,2.522031062,8.98E-36,2.46E-34,2.515030423,1.54E-45,8.20E-44,3.316332129,2.51E-31,4.57E-30
AT5G02100,0.182880328,0.267995373,0.3792556,0.404243715,0.016386364,0.033952244,-0.069596411,0.755365843,0.820343229
AT5G02110,-0.898576125,0.545052085,NA,-1.532855024,0.276759279,0.375844862,1.044360955,0.557610554,0.654822263
AT5G02120,0.73746518,0.000364648,0.001107261,1.065840351,5.50E-16,5.99E-15,2.72965416,1.64E-83,1.44E-81
AT5G02130,-0.562251053,0.049872913,0.093263199,-0.740744658,0.005233811,0.012232485,-0.683838212,0.037422887,0.072449235
AT5G02140,0.214985615,0.750926822,0.827968555,-0.551246181,0.443642719,0.543311143,-1.545110951,0.169157035,0.258514128
AT5G00815,0,1,NA,-1.760411072,0.849130257,NA,0,1,NA
AT5G02150,1.322188067,1.04E-07,5.16E-07,0.599207378,0.009043656,0.019963397,1.564680968,8.23E-11,5.06E-10
AT5G00820,-1.623434081,0.861041829,NA,0,1,NA,0.575462528,0.95052652,NA
AT5G02160,0.947998974,2.27E-09,1.36E-08,0.434388082,0.000272013,0.000819606,0.906612538,8.52E-14,6.49E-13
AT5G02170,-0.689280099,0.000399008,0.001201316,-0.441863071,0.01898744,0.038680215,-0.804635232,0.079103506,0.137712786
AT5G02180,-1.730530628,0.005355117,0.01296624,-0.469404601,0.11933529,0.18918192,-0.031388503,0.909692295,0.940990225
AT5G02190,-0.718324026,0.04711752,0.088909172,-1.950271696,9.60E-05,0.000311432,-1.697118601,0.016155487,0.034613509
AT5G02200,0.996022075,0.000102311,0.00033939,-0.103954868,0.804406338,0.851361738,1.125468917,0.044928178,0.08462099
AT5G02210,0.617001224,0.824466844,NA,1.972830749,0.497616746,NA,2.499069711,0.398739139,NA
AT5G00825,0,1,NA,0,1,NA,0,1,NA
AT5G02220,-0.078664074,0.91161239,0.942401006,-0.549677123,0.369884212,0.471791509,0.878390166,0.205364172,0.302779804
AT5G02230,0.394238866,0.017099641,0.036514118,0.48754891,0.003079222,0.007604043,1.243397288,2.03E-07,9.13E-07
AT5G02240,0.739012155,1.51E-09,9.18E-09,0.726017515,3.94E-12,3.05E-11,1.94543578,1.51E-84,1.35E-82
AT5G02244,-0.846184976,0.43786469,0.558001268,0.076306731,0.935235731,0.951733283,3.027764694,0.063574133,0.114077647
AT5G02250,-0.700349132,1.74E-06,7.43E-06,-0.715858112,5.61E-09,3.17E-08,-0.435942477,0.002952207,0.007428448
AT5G02260,-0.751954837,2.59E-07,1.22E-06,-0.942532893,3.68E-08,1.90E-07,-1.245643706,2.90E-11,1.84E-10
AT5G02270,0.25102887,0.309889957,0.426814539,1.030512781,1.21E-21,2.01E-20,0.769465233,5.61E-07,2.40E-06
AT5G02280,-0.004413886,0.986112268,0.991742021,0.347697586,0.090239645,0.149424881,1.241428691,3.52E-06,1.37E-05
AT5G02290,-1.120571359,1.64E-11,1.20E-10,-0.917068327,7.97E-10,4.94E-09,-0.743563835,0.000133281,0.000423047
AT5G02310,-0.634127578,7.47E-11,5.18E-10,-0.666527341,8.52E-15,8.44E-14,-1.074357355,2.10E-20,2.35E-19
AT5G02320,-1.681693913,2.04E-07,9.76E-07,-0.092060363,0.783231378,0.834016761,-0.81435045,0.114303799,0.187116781
AT5G02330,-0.591206265,0.537206375,0.651584852,1.496399867,0.177783417,0.263408391,2.112574454,0.069974553,0.123921717
AT5G02340,0.861264378,0.925203416,NA,1.126324415,0.903343496,NA,0,1,NA
AT5G02350,-0.897601093,0.034757852,0.068309023,-0.41008218,0.403135078,0.504409386,-0.54416619,0.210271689,0.30860326
AT5G00835,-3.011088231,0.744561976,NA,1.126324415,0.903343496,NA,0,1,NA
AT5G02360,-1.100373075,0.037514562,0.072913304,-0.454066774,0.310355547,0.411000277,-1.364867072,0.040747855,0.077937391
AT5G02370,-0.329782325,0.414107725,0.535427302,-0.173019826,0.601452483,0.685720545,-0.820192785,0.04819163,0.089832752
AT5G02380,-0.654891389,1.35E-05,5.10E-05,-0.066110533,0.659176455,0.734196623,1.606663725,1.63E-26,2.43E-25
AT5G02385,2.320802564,0.801388414,NA,2.037689535,0.825749457,NA,2.498973176,0.787594235,NA
AT5G02390,0.463380357,0.678745704,0.77201868,2.025595039,0.141079506,0.217774407,0.822369868,0.457829721,0.564898338
AT5G00840,-0.661682554,0.943122016,NA,0,1,NA,0,1,NA
AT5G02400,-0.595226028,0.067688299,0.120923051,0.354855121,0.241775065,0.338516382,0.426975437,0.321983916,0.433121976
AT5G02410,-1.156877212,2.71E-06,1.13E-05,-0.445359111,0.045197885,0.082294382,-0.368549929,0.166814147,0.255492743
AT5G02420,1.743655134,3.80E-08,1.99E-07,1.64452991,1.87E-07,8.78E-07,2.225472443,5.68E-10,3.26E-09
AT5G00845,-0.21183067,0.981606124,NA,-0.797186233,0.931504932,NA,0.575462528,0.95052652,NA
AT5G02430,-1.365476888,0.002563157,0.006647636,0.50295782,0.154458542,0.234291148,-1.306657521,0.059790319,0.108148575
AT5G02435,3.14415364,0.002750516,0.00709194,6.434627229,5.88E-06,2.27E-05,7.059401204,8.21E-07,3.44E-06
AT5G02440,1.935807614,4.89E-15,4.63E-14,1.064825438,7.58E-05,0.000249847,2.559664806,8.18E-15,6.67E-14
AT5G02450,3.261943804,3.07E-168,2.42E-165,2.671203248,4.71E-162,8.74E-159,3.375232351,1.16E-304,8.01E-301
AT5G00850,0,1,NA,0,1,NA,0,1,NA
AT5G02460,0.074957727,0.883020303,0.922496763,0.826521499,0.043175932,0.079117785,-0.382587773,0.604115546,0.695150509
AT5G02470,0.041608167,0.880408629,0.920781704,0.580375162,0.02619406,0.051262726,0.151682441,0.685046917,0.763599703
AT5G00855,-1.836905493,0.842558331,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT5G02480,-0.267072622,0.010970033,0.024640757,0.107368098,0.25596678,0.353656954,-0.844633002,1.13E-14,9.10E-14
AT5G02490,-0.764934781,0.00059259,0.001733185,-0.997358036,9.69E-14,8.74E-13,-1.21238714,1.29E-07,5.94E-07
AT5G02500,-0.62546298,7.62E-10,4.78E-09,-0.900658295,5.57E-19,7.63E-18,-1.214536207,6.44E-32,1.21E-30
AT5G02502,1.555169086,6.35E-12,4.80E-11,2.030451608,4.52E-21,7.25E-20,3.434348945,2.74E-49,9.38E-48
AT5G02505,2.668665544,2.49E-06,1.04E-05,4.678508512,1.05E-13,9.46E-13,6.305320214,2.00E-16,1.78E-15
AT5G02510,-1.207873159,0.853167003,NA,1.126348789,0.8632233,NA,4.758371525,0.461552961,NA
AT5G02520,-1.041315534,0.09261852,0.157869487,0.479927539,0.368831266,0.47081293,0.417737349,0.468031528,0.574211628
AT5G00860,-2.163802423,0.815368059,NA,1.021491211,0.911817031,NA,0.575462528,0.95052652,NA
AT5G02530,0.37277346,0.023764265,0.048880999,0.166412544,0.27912283,0.378579385,0.360705374,0.046842141,0.087691645
AT5G00865,0,1,NA,0,1,NA,0,1,NA
AT5G02540,0.82300312,3.49E-05,0.000124882,-0.294410244,0.395905678,0.497353155,0.069695367,0.841905284,0.889944836
AT5G02550,-0.002574503,0.9928253,0.995512564,0.228838684,0.57283825,0.660454355,0.90342429,0.146841862,0.229915744
AT5G02560,0.151265224,0.641112625,0.742381565,0.678623769,0.039239063,0.072901826,1.640891618,0.002860162,0.007213335
AT5G02570,2.782246582,0.033911545,0.066870116,2.598814132,0.083623847,0.139969673,2.499076986,0.145501468,0.228206693
AT5G02580,2.122633581,2.44E-29,5.07E-28,2.84045649,8.11E-06,3.07E-05,5.75286812,2.54E-06,1.01E-05
AT5G02590,1.71240176,0.000184431,0.000590192,2.566690749,1.06E-05,3.95E-05,2.363207576,5.17E-07,2.22E-06
AT5G00870,-0.661691124,0.94312128,NA,-0.397244316,0.965649344,NA,1.537217852,0.868360962,NA
AT5G02600,-0.704210724,0.063210661,0.114187367,0.503742956,0.174366573,0.259248337,-0.175500579,0.659471597,0.741824649
AT5G02610,3.480043711,1.05E-86,1.10E-84,2.195900805,2.06E-74,3.10E-72,3.613330924,3.24E-232,4.69E-229
AT5G02615,1.216276155,0.895143883,NA,2.581337117,0.779921054,NA,3.40103585,0.7132887,NA
AT5G02620,0.238397775,0.389294858,0.510527709,0.677991226,0.008423801,0.018741694,0.293942503,0.37973437,0.491003207
AT5G02630,-0.850564022,0.02917741,0.058571051,-0.792396729,0.026908253,0.0524848,-1.071288911,0.041522393,0.079182105
AT5G02640,1.106646339,0.068847216,0.122697574,0.81122276,0.085050026,0.142063746,1.384406427,0.043685305,0.082591076
AT5G02650,-0.01687417,0.957419615,0.973242097,0.722795568,0.006738236,0.015323776,1.22695291,4.56E-05,0.000154916
AT5G02660,-1.337293964,0.815097779,NA,2.096963386,0.713828284,NA,2.499038713,0.666267213,NA
AT5G02670,0.149759374,0.658376998,0.756553916,0.151877041,0.575347606,0.662923815,1.218060853,0.002390241,0.006112691
AT5G02680,-1.046600994,2.34E-05,8.56E-05,-1.082088594,9.94E-06,3.72E-05,-0.75849099,0.004473495,0.010868661
AT5G02690,-0.015437305,0.977659973,0.986075928,-0.106816759,0.839504296,0.879048619,0.467105775,0.458158499,0.565173773
AT5G02700,-2.369552725,0.797463692,NA,1.126324415,0.903343496,NA,0,1,NA
AT5G02710,1.110325002,5.01E-08,2.59E-07,0.935872807,7.07E-11,4.85E-10,1.973076214,1.26E-38,3.07E-37
AT5G02720,0.112018612,0.990300857,NA,1.03983825,0.91056241,NA,0.575462528,0.95052652,NA
AT5G02725,4.304375017,0.479915675,NA,2.648994012,0.664690287,NA,3.732176183,0.541822922,0.640823241
AT5G02730,1.718679415,0.852104336,NA,3.01970002,0.743494556,NA,3.441930407,0.709949435,NA
AT5G02740,-0.089057709,0.672442971,0.767602528,-0.244318898,0.13606903,0.211297625,0.985694713,1.02E-08,5.24E-08
AT5G02750,1.097564363,0.012069616,0.026833087,2.025499233,2.85E-06,1.15E-05,1.081205065,0.025571241,0.051874112
AT5G00875,0.922633664,0.065138756,0.117040686,0.312961413,0.530477722,0.623396558,2.428243986,0.000652837,0.001849783
AT5G02760,1.099497116,1.67E-10,1.12E-09,0.817115519,5.10E-09,2.90E-08,0.466128382,2.86E-05,9.96E-05
AT5G02770,0.861872889,4.18E-19,5.07E-18,0.625189913,3.59E-15,3.65E-14,0.827057599,6.59E-20,7.21E-19
AT5G02780,0.09269254,0.880592018,0.920826691,0.797957561,0.127579412,0.200209843,1.023816752,0.153754868,0.238782682
AT5G02790,0.326638002,0.028403715,0.05723686,0.484678979,2.12E-05,7.57E-05,1.643588908,3.54E-50,1.25E-48
AT5G02800,0.322215877,0.091622808,0.156426307,0.544797293,0.001094961,0.002970385,0.103498596,0.65487397,0.73776907
AT5G02810,0.055879734,0.785644109,0.854359551,0.262355392,0.056428852,0.099892188,0.475613708,0.029515183,0.058844572
AT5G02815,1.432086464,0.738085044,NA,3.780418246,0.3870008,NA,4.682757122,0.287284814,0.395892663
AT5G02820,0.410606951,0.099465324,0.167656806,0.326585085,0.148232674,0.22650148,-0.529675274,0.105227645,0.174649321
AT5G02830,-0.13539674,0.6331289,0.7355262,0.173269818,0.297937502,0.397985765,0.102932919,0.572134424,0.667575094
AT5G00880,-3.011101782,0.744560856,NA,0.112709309,0.990262372,NA,0,1,NA
AT5G02840,2.357790243,2.94E-88,3.16E-86,1.539392119,8.73E-51,5.89E-49,1.411781673,2.35E-33,4.71E-32
AT5G02850,0.276872254,0.328422342,0.446336168,0.428713911,0.0395837,0.073447522,0.412753257,0.150810101,0.235135767
AT5G02860,-0.076208096,0.777295146,0.847839013,-0.022269146,0.910831553,0.933481899,-0.201430032,0.429200035,0.538113799
AT5G02870,-0.229038647,0.046978419,0.088706495,-0.489720713,3.00E-07,1.38E-06,-0.259367784,0.007904585,0.018245942
AT5G00885,0,1,NA,-0.797186233,0.931504932,NA,0,1,NA
AT5G02880,-0.767622068,8.48E-11,5.84E-10,-0.834359523,9.61E-15,9.46E-14,-1.269906993,5.67E-16,4.92E-15
AT5G02890,0.709900651,0.000871279,0.00247529,1.070134313,2.24E-10,1.46E-09,0.450576462,0.080834824,0.140203393
AT5G02900,-1.35403915,0.779089584,NA,-0.982218956,0.841565417,NA,0.575479968,0.909119635,NA
AT5G02910,0.046916065,0.860306318,0.907641666,0.155764092,0.510074139,0.605254099,0.4423601,0.131779408,0.210305976
AT5G02920,-0.661682554,0.943122016,NA,1.126324415,0.903343496,NA,0.575462528,0.95052652,NA
AT5G02930,0.802569883,0.640978053,NA,-0.346496646,0.848555619,NA,0.080665027,0.966180883,0.983957209
AT5G02940,-0.318391116,0.167404931,0.258876466,-0.377079805,0.007673218,0.017237188,0.349288404,0.023876951,0.048811393
AT5G02950,-0.900764309,0.079005544,0.137884762,-0.51314291,0.116582005,0.18539445,-0.70778331,0.21283634,0.311618053
AT5G02960,1.836896268,1.55E-81,1.47E-79,0.960649761,6.56E-26,1.39E-24,1.946136542,2.34E-111,3.88E-109
AT5G02970,-0.046581409,0.835877215,0.890275214,0.041872104,0.812693081,0.857921122,-1.419782114,4.27E-07,1.85E-06
AT5G02980,1.00929704,0.913219861,NA,2.03576599,0.825407886,NA,2.498973176,0.787594235,NA
AT5G02990,-3.716831421,0.687030064,NA,1.956881538,0.832612385,NA,0,1,NA
AT5G02995,-1.637136589,0.859599308,NA,2.136518347,0.816878981,NA,2.498973176,0.787594235,NA
AT5G03000,-1.637136589,0.859599308,NA,1.701405559,0.853845481,NA,2.498973176,0.787594235,NA
AT5G03010,-0.444088258,0.65310886,0.752112699,3.40606588,0.019430141,0.039455981,2.449990018,0.017905223,0.037858173
AT5G03020,-1.330596976,0.09797314,0.165573686,1.101736707,0.182487756,0.269255513,-0.901185591,0.552819958,0.650724275
AT5G00895,0.288711087,0.975167107,NA,0,1,NA,0,1,NA
AT5G03030,0.611048191,0.054469686,0.100567712,0.367393453,0.079556788,0.134261452,1.008394642,0.000115621,0.000370544
AT5G00900,-1.623437878,0.861041507,NA,0,1,NA,0,1,NA
AT5G03040,-0.191833178,0.059600022,0.10866996,0.062695495,0.448092608,0.547348468,-0.068889187,0.507456574,0.610145557
AT5G03050,1.432930626,0.000122858,0.000402668,0.835675531,0.020680896,0.041673169,1.628254214,4.64E-06,1.78E-05
AT5G03060,-2.661426284,0.063116696,NA,0.699925617,0.680304718,NA,2.398575276,0.207779396,0.305603677
AT5G03070,0.154005785,0.625520283,0.729174483,-0.441353606,0.076458486,0.129961907,-0.847982209,0.02782322,0.055869838
AT5G03080,0.706100864,0.000193148,0.000616601,0.603560563,0.000179626,0.000558205,0.017774664,0.930911927,0.958004904
AT5G03090,0.847028375,0.04790234,0.090105804,1.616451712,4.95E-05,0.000167902,1.898901915,0.011161759,0.024877258
AT5G03100,-0.033568401,0.9322763,0.956579051,0.258726795,0.378633132,0.480678205,-0.581709334,0.180062309,0.27218606
AT5G03110,0.777122288,0.075236398,0.132296531,1.904086751,7.29E-06,2.78E-05,1.221380148,0.00609194,0.014390285
AT5G03120,0.851902845,0.000874805,0.002484465,1.616464063,3.14E-11,2.22E-10,2.187573411,1.09E-15,9.33E-15
AT5G03130,-1.237804812,0.725680186,NA,0.164575132,0.963039954,NA,4.430291305,0.191156594,0.285799886
AT5G03140,-0.68910526,0.002691837,0.006954879,-0.220845938,0.30748552,0.408031997,-1.68539428,1.96E-08,9.78E-08
AT5G03150,1.224444348,1.14E-07,5.64E-07,1.463660294,6.03E-10,3.78E-09,1.076876515,0.000170348,0.000532774
AT5G03160,-0.521899668,0.027564478,0.055710588,-0.450311897,0.00502714,0.011801508,-0.47840081,0.009673678,0.021901315
AT5G03170,-0.634615409,0.018525826,0.039178334,-0.314643571,0.221072985,0.315056447,-1.846222036,0.000295314,0.000887587
AT5G03180,-0.304615785,0.189200095,0.286086022,0.038031778,0.863714475,0.898168961,0.140265227,0.649361719,0.73312024
AT5G03190,-0.128425031,0.579631524,0.689725919,0.058281662,0.73070322,0.7924472,-0.563781676,0.036287127,0.0705329
AT5G00905,-0.661678757,0.943122342,NA,0,1,NA,1.537217852,0.868360962,NA
AT5G03200,0.140660436,0.596903375,0.704884349,0.468634845,0.101472399,0.164806986,0.292096319,0.416546708,0.525940882
AT5G03204,0.288722636,0.906353917,NA,0.257166626,0.905421203,NA,3.391378686,0.154729482,0.239930558
AT5G03210,0.254414778,0.458059027,0.577005948,1.76242102,5.79E-09,3.27E-08,-0.632826215,0.577104101,0.671819523
AT5G03220,-0.366404691,0.233564192,0.339533831,-0.223509976,0.407781555,0.508801013,0.158699291,0.638639218,0.724254468
AT5G03230,1.329098831,4.59E-15,4.36E-14,1.647229375,3.78E-29,9.73E-28,1.140994542,6.63E-09,3.46E-08
AT5G03240,2.074031327,4.96E-86,5.15E-84,1.581965383,1.45E-51,1.01E-49,1.20596201,2.63E-28,4.24E-27
AT5G03250,-2.203347279,0.010886124,0.024471921,-0.857028304,0.070859891,0.121881829,0.222916745,0.703896324,0.77892952
AT5G03260,-1.024823534,1.45E-08,7.92E-08,-0.870936972,1.07E-08,5.86E-08,-2.385133922,5.01E-15,4.14E-14
AT5G03270,-2.412974041,0.343664696,NA,0.534541512,0.832832987,NA,3.98124258,0.140459303,0.221650629
AT5G03280,-1.56085452,2.45E-55,1.24E-53,-1.204778748,2.75E-32,8.24E-31,-2.123339305,3.13E-65,1.68E-63
AT5G03285,0.703231727,0.034332907,0.067605743,0.965306547,0.000218804,0.000668907,2.226984453,6.78E-07,2.87E-06
AT5G03290,0.031618494,0.771426551,0.843405053,-0.027542789,0.778961238,0.830346011,0.073621092,0.50397194,0.607469135
AT5G03300,0.55854132,6.59E-06,2.62E-05,-0.406775592,0.000204938,0.000630079,-0.075067418,0.520951665,0.622237769
AT5G03310,2.928941218,0.000118866,0.000390246,1.283660821,0.105133375,0.16988318,2.040406997,0.009905573,0.022376606
AT5G00910,0,1,NA,1.126324415,0.903343496,NA,0,1,NA
AT5G03320,0.254853357,0.24993793,0.358560977,0.584084634,0.002647719,0.006623616,-0.210395758,0.401159238,0.511655183
AT5G03330,-0.219721103,0.235305721,0.341512109,0.298091454,0.080011741,0.134915239,0.393888797,0.075719935,0.13251271
AT5G03340,-1.008180131,6.37E-14,5.58E-13,-0.723417724,7.18E-09,4.01E-08,-1.290493993,1.39E-10,8.41E-10
AT5G03345,1.28612261,2.30E-15,2.23E-14,1.281542912,1.13E-15,1.20E-14,2.153776133,2.95E-42,8.08E-41
AT5G03350,0.089366203,0.885113934,0.92391767,0.282059298,0.339491784,0.441611457,-0.904283135,0.090492049,0.154106492
AT5G03355,-0.570399208,0.032184047,0.06387869,0.152915502,0.587261421,0.673572273,-0.831042303,0.031372139,0.062049576
AT5G03377,-1.89265255,0.644686859,NA,1.470218739,0.713336917,NA,2.389849763,0.562874107,NA
AT5G03360,-0.774454835,0.613812137,NA,1.121417953,0.487416095,0.584944372,-0.293702856,0.864497919,0.905786782
AT5G03370,1.694724667,8.12E-06,3.18E-05,0.945547568,0.000239382,0.000727533,2.351015022,3.09E-13,2.26E-12
AT5G03380,1.786501652,4.90E-24,7.94E-23,2.28550598,4.56E-49,2.83E-47,0.930842365,3.58E-08,1.74E-07
AT5G03390,-0.958778605,0.187129271,0.283581391,0.916978427,0.242445614,0.339253998,0.429055835,0.44268132,0.550948386
AT5G03400,-1.509286651,0.87001563,NA,-0.402043722,0.965088123,NA,2.498973176,0.787594235,NA
AT5G03406,-0.680153019,0.045645841,0.086475474,-0.720157141,0.017318416,0.035690693,-0.533383116,0.170234829,0.259944502
AT5G03415,-0.13448227,0.638524904,0.740122434,0.263262914,0.214613123,0.307534364,-0.305154164,0.298267332,0.408002303
AT5G03420,-0.3753768,0.150458759,0.236860737,0.174641391,0.39632426,0.497854908,0.238500612,0.293907335,0.403244285
AT5G00920,0.609623264,0.947407498,NA,2.001593574,0.828813619,NA,0,1,NA
AT5G03430,-0.716806652,2.40E-05,8.76E-05,-0.337835212,0.0085901,0.019064309,-0.344427563,0.020005621,0.041725142
AT5G00925,-1.623434081,0.861041829,NA,1.910810979,0.836530142,NA,0,1,NA
AT5G03435,-0.092090645,0.946705101,0.966110926,0.004412068,0.996771975,0.997925023,1.596075103,0.354714104,0.466946461
AT5G03440,-0.489332711,0.084600323,0.146070373,-0.281756477,0.2630583,0.360843497,0.765861709,0.018221064,0.038443245
AT5G03445,0.288711087,0.975167107,NA,1.126324415,0.903343496,NA,0,1,NA
AT5G03450,-0.964946281,5.28E-05,0.00018373,-0.557791246,0.010454934,0.022713739,0.211252452,0.435531065,0.544117148
AT5G03452,-1.623437878,0.861041507,NA,0,1,NA,0,1,NA
AT5G03455,1.607993884,6.16E-20,7.93E-19,1.659840087,5.33E-22,9.02E-21,2.816615489,1.09E-54,4.35E-53
AT5G03460,2.100777301,7.09E-46,2.68E-44,1.666575111,3.71E-44,1.86E-42,2.365966302,1.39E-55,5.73E-54
AT5G03470,-0.647360216,0.000490783,0.001456049,-0.491881982,0.000326477,0.000973655,-0.597940977,0.00415712,0.010167352
AT5G03480,-3.936773857,0.669453961,NA,3.059508179,0.740213478,NA,2.498973176,0.787594235,NA
AT5G03490,-0.36893123,0.404155572,0.525746605,0.610347951,0.141522925,0.218304493,-0.587752198,0.429769951,0.538656492
AT5G03495,0.050042925,0.95111797,0.968965616,1.792568258,0.024140054,0.047732265,0.106187015,0.919965043,0.949118257
AT5G03500,0.788857586,3.16E-05,0.000113614,0.722099859,3.81E-05,0.000130944,1.331370078,4.61E-10,2.67E-09
AT5G03510,1.189708842,0.003881953,0.009704305,1.712742629,5.57E-08,2.81E-07,-0.084183571,0.861422279,0.903777249
AT5G03520,0.76465188,1.55E-08,8.49E-08,1.125407338,5.27E-20,7.83E-19,1.819046609,8.44E-34,1.72E-32
AT5G03530,1.062902911,4.65E-07,2.13E-06,1.148414866,5.48E-08,2.76E-07,1.650353424,2.17E-08,1.08E-07
AT5G03540,-0.085004265,0.495191355,0.612853291,0.104845741,0.349229398,0.451248735,-0.152506481,0.279222299,0.387128588
AT5G03545,3.549873259,1.33E-78,1.19E-76,2.976252256,3.72E-73,5.34E-71,3.468570596,1.79E-109,2.87E-107
AT5G03550,2.265140102,0.070521394,0.125202934,4.069663724,0.003128219,0.007716966,2.135257744,0.142838578,0.224747728
AT5G03553,0.140213889,0.977989505,NA,1.332880011,0.79309919,NA,4.00859438,0.433899662,NA
AT5G03555,-0.863891963,2.62E-06,1.09E-05,-0.802154284,3.90E-19,5.40E-18,-1.07885167,1.38E-13,1.03E-12
AT5G03560,0.583497347,0.00524475,0.012721018,0.296604187,0.170201307,0.254161542,0.876080382,0.00115945,0.003144679
AT5G03570,-0.673876559,0.00507306,0.012349773,-0.706466281,0.003064007,0.007571512,-0.399465671,0.359855761,0.471927921
AT5G03580,-3.352586819,0.716518025,NA,2.037689473,0.825749463,NA,0,1,NA
AT5G03590,-1.509832488,0.869578439,NA,1.910810979,0.836530142,NA,2.498973176,0.787594235,NA
