Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT1G01420,1.064097033,0.046511988,0.087940105,0.378453435,0.152382031,0.231723501,0.009921643,0.974612854,0.98943094
AT1G01430,0.704630835,1.66E-05,6.22E-05,0.633009925,3.22E-07,1.47E-06,-0.083482374,0.571924761,0.667500326
AT1G01440,-0.72866818,1.77E-05,6.60E-05,0.246658894,0.087489304,0.145501685,-0.174564729,0.446968214,0.555053291
AT1G01448,0.074403129,0.744245494,0.823340576,-0.426240628,0.044579675,0.081334178,0.089576765,0.775392277,0.836150741
AT1G01450,-1.831392408,0.769797739,NA,2.607254902,0.679169644,NA,4.346615218,0.491487509,0.595311888
AT1G01453,-0.562593073,0.549922289,0.662447034,0.201898502,0.896947934,0.923408254,-0.13056557,0.877613471,0.915140274
AT1G01460,-1.493856073,0.724841816,NA,2.015162773,0.633656254,NA,3.389620486,0.435543123,NA
AT1G01470,-0.214601847,0.112140943,0.185643852,0.286749432,0.019884591,0.04024661,1.14771527,7.81E-07,3.28E-06
AT1G01480,-0.291290713,0.528614253,0.64392271,0.070088672,0.834358891,0.875178534,1.218192251,0.209664397,0.307937293
AT1G01490,1.145512335,2.11E-19,2.62E-18,1.215562508,7.58E-22,1.28E-20,1.077075951,1.23E-13,9.25E-13
AT1G01500,0.458969524,0.07331386,0.12944904,0.127235485,0.511360279,0.60650305,-0.495232012,0.05511079,0.100851317
AT1G01510,-0.523400776,8.57E-05,0.000288182,-0.835548834,4.66E-11,3.25E-10,-0.369337115,0.034139999,0.066841603
AT1G01520,-0.40122409,0.503454918,0.620415461,0.538694878,0.112650597,0.180113313,1.217522552,0.002777267,0.007019074
AT1G01530,-2.598891913,0.778866099,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G01540,-0.299534383,0.024622947,0.050478243,-0.577303517,1.38E-07,6.58E-07,-1.169671173,5.25E-17,4.87E-16
AT1G01550,-0.192358192,0.05343015,0.098916654,-0.123229511,0.176540791,0.261851191,-0.006252225,0.955878444,0.976889159
AT1G01560,-4.052032047,0.002287909,0.006001742,-0.105474341,0.874944423,0.906629402,-0.781234885,0.489260242,0.593062316
AT1G01570,-1.726134387,0.003830696,0.009585681,-0.99973391,0.016068454,0.033354759,-1.991860099,0.003548079,0.008789522
AT1G01580,-0.511264752,0.040313262,0.077622211,0.030065752,0.903194722,0.92803624,-1.35375803,7.02E-08,3.32E-07
AT1G01590,-3.381859602,0.200488155,NA,0.089542866,0.972203575,NA,-0.326015545,0.90654659,0.938406709
AT1G01600,-0.532626259,0.065360386,0.117371933,-0.720289411,0.069270264,0.119607178,-0.813944347,0.089485309,0.152694508
AT1G01610,-1.372753968,1.14E-20,1.52E-19,-1.123432844,1.50E-18,1.98E-17,-1.547902048,1.45E-22,1.80E-21
AT1G01620,-1.689138681,4.32E-47,1.71E-45,-1.761001233,1.39E-49,8.88E-48,-2.069537804,7.60E-54,2.96E-52
AT1G01630,1.405730152,2.45E-13,2.06E-12,1.431251497,5.28E-24,9.94E-23,1.510912179,1.12E-22,1.39E-21
AT1G01640,3.317227243,1.19E-23,1.88E-22,2.667760437,1.89E-24,3.64E-23,2.42518071,1.26E-06,5.17E-06
AT1G01650,-2.412291806,1.80E-73,1.40E-71,-2.309677136,1.73E-73,2.52E-71,-2.486035521,3.70E-35,7.85E-34
AT1G01660,-0.745792564,0.237992723,0.344536215,0.50554775,0.489759213,0.58707696,0.47045224,0.461138185,0.567729312
AT1G01670,-0.491517306,0.531655823,0.646783302,0.027685281,0.971725602,0.979535021,2.273710847,0.009385843,0.021318077
AT1G01680,-1.597560491,0.160870446,0.250555669,1.200184571,0.401108058,0.502624017,3.995143231,0.012106064,0.026756474
AT1G01690,-0.893044814,0.039842026,0.076855299,-0.845226128,0.005978426,0.013775634,-0.609907698,0.133418454,0.212391741
AT1G01695,0.099025391,0.979103122,NA,0.35581901,0.924473093,NA,3.045628213,0.437841695,NA
AT1G04033,-1.623434081,0.861041829,NA,-2.333676441,0.800530035,NA,0,1,NA
AT1G04037,0,1,NA,1.910810948,0.836530145,NA,0,1,NA
AT1G01700,-0.241121049,0.838953868,0.892524468,0.559989279,0.485378608,0.583173076,1.20236848,0.132443855,0.211157951
AT1G01710,-0.847413042,5.53E-07,2.52E-06,-0.853943128,3.00E-08,1.56E-07,-0.831768597,4.82E-05,0.000163455
AT1G01715,-0.514370464,0.276074408,0.38854631,-0.550025922,0.257672308,0.355445958,0.418327688,0.392906965,0.503933545
AT1G04043,-2.163812429,0.815367218,NA,2.675675459,0.771617868,NA,1.537217852,0.868360962,NA
AT1G01720,-1.11963083,3.72E-22,5.42E-21,-1.073082805,2.81E-22,4.87E-21,-1.132186241,1.26E-13,9.46E-13
AT1G01725,2.816101908,3.82E-10,2.47E-09,3.228186633,3.97E-08,2.04E-07,3.795874438,2.11E-12,1.45E-11
AT1G04047,-0.440946151,0.760179083,NA,-2.322787919,0.116166457,0.18480074,-0.765098266,0.603141277,0.694417701
AT1G01730,1.448215066,4.84E-14,4.27E-13,1.119693796,2.48E-10,1.61E-09,1.310706571,2.11E-07,9.49E-07
AT1G01740,-0.814495187,0.060799289,0.1104728,0.182672842,0.585498045,0.671925123,-0.899065202,0.025493845,0.051739997
AT1G01750,1.302261921,0.034815894,0.068417753,4.38903398,2.91E-05,0.000101623,1.921866339,1.93E-08,9.64E-08
AT1G04053,-0.079585842,0.920043572,0.948120991,0.349530024,0.576692847,0.663888845,0.527056787,0.458803698,0.565766718
AT1G01760,-2.276454963,2.53E-10,1.67E-09,-1.902266143,2.48E-10,1.61E-09,-1.985659478,1.60E-06,6.50E-06
AT1G04057,0,1,NA,0,1,NA,0,1,NA
AT1G01770,-0.516896974,0.000383512,0.001158955,-1.545072834,6.03E-32,1.78E-30,-1.674198074,9.21E-15,7.48E-14
AT1G01780,2.16932748,4.54E-41,1.47E-39,1.159033583,9.12E-13,7.53E-12,1.179155191,2.07E-05,7.34E-05
AT1G01790,-1.514162271,9.82E-24,1.56E-22,-1.105161586,1.26E-26,2.78E-25,-1.080581105,4.31E-20,4.74E-19
AT1G04063,-1.00700628,0.913013801,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G01800,0.946484299,8.94E-11,6.14E-10,0.494621441,8.99E-05,0.000292844,1.426779612,4.54E-25,6.34E-24
AT1G01810,1.151089593,0.348845512,0.468106711,0.133087942,0.878391721,0.909218442,4.393260469,0.002304161,0.005915217
AT1G01820,0.889636463,7.04E-12,5.30E-11,0.330381892,0.007583128,0.017058424,1.330083774,1.28E-18,1.31E-17
