Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
AT5G54500,-0.644780975,0.002132874,0.01629721,-0.826700604,2.76E-06,3.68E-05,-0.77443055,2.66E-07,3.25E-06
AT5G54510,-0.015270789,0.957204073,1,-0.119506418,0.468287696,0.698402682,-0.591462207,0.000755896,0.004131791
AT5G54520,1.686963303,0.006051071,0.037321219,0.828542651,0.246136877,0.465358305,0.800363593,0.136426971,0.289186332
AT5G54530,0.223451478,0.829645957,0.995437521,1.627192667,0.007311514,0.033579645,1.903734978,0.057764839,0.152266443
AT5G54540,-0.384755483,0.085273636,0.253599156,-0.545099559,0.001195825,0.0075461,-0.550839823,0.000132203,0.000893083
AT5G54550,2.981558442,0.036189872,0.142794258,2.211874134,0.193032395,0.39874367,0.695052459,0.638775176,0.808258976
AT5G54560,2.137805765,0.123462361,0.321235222,1.677344554,0.269633331,0.493449564,1.28719064,0.431319409,0.633589581
AT5G54569,1.623651898,0.123361492,0.321143447,2.140293115,0.00035617,0.002679889,1.971838537,0.000837559,0.004519489
AT5G54570,1.000761094,0.42380249,0.687532741,0.417486425,0.712161303,0.893004746,1.977020088,0.032699993,0.097168763
AT5G54580,1.484062231,0.000408975,0.003968057,-0.01223179,0.973658031,1,-0.137135867,0.600922894,0.779602518
AT5G08215,0,1,NA,0,1,NA,0,1,NA
AT5G54585,-1.809734015,0.126695725,0.326785992,0.262733873,0.633111667,0.833707799,-2.077998677,0.084011561,0.201459696
AT5G54590,-2.502333315,0.034229624,0.137520278,-0.177191546,0.633330752,0.833903146,0.167971525,0.695159426,0.849131843
AT5G54600,-0.042336852,0.852096802,1,-0.769854837,8.94E-09,1.92E-07,0.222323826,0.004999624,0.020935659
AT5G54610,0,1,NA,0,1,NA,0.285771465,0.951380092,NA
AT5G08225,0,1,NA,0,1,NA,0,1,NA
AT5G54620,0,1,NA,0,1,NA,0,1,NA
AT5G54630,-0.378650754,0.530483137,0.783274112,-0.444228616,0.124193463,0.295063428,-0.338841164,0.194997,0.373077515
AT5G54640,-1.146552227,0.037528845,0.146376181,0.016802171,0.949515637,1,-0.323819402,0.194674739,0.372609007
AT5G54650,-0.524680104,0.283542345,0.541311793,0.663193685,0.008662376,0.038533271,0.234795256,0.465772657,0.664545377
AT5G54660,0.483490378,0.509892945,0.765856282,-0.266824974,0.667012358,0.859825417,0.020079493,0.959969633,1
AT5G54661,0,1,NA,0,1,NA,0,1,NA
AT5G54670,-0.42969472,0.388211849,0.65321713,0.319594827,0.212808847,0.423326375,0.075458981,0.743453649,0.882122874
AT5G54680,-0.021232174,0.926400449,1,0.013152961,0.940037262,1,-0.1662687,0.327799696,0.529007613
AT5G08235,4.846155423,0.601318084,NA,0,1,NA,0,1,NA
AT5G54690,-0.899454332,0.290932518,0.549099207,-0.893956557,0.155170493,0.344093299,-1.561563723,0.20033711,0.379402095
AT5G54700,0,1,1,0,1,1,-0.057202831,0.971493537,NA
AT5G54710,0.962562111,0.437127449,0.699974642,-1.118693659,0.375569509,0.613492447,0.398769024,0.252510474,0.442939627
AT5G54720,2.645616352,0.050577828,0.178946591,0.023416933,0.986198146,1,0.078347142,0.896131548,0.980324553
AT5G54730,0.136742329,0.642311531,0.872902481,0.686686238,5.86E-05,0.000551979,0.338780327,0.099118541,0.228459625
AT5G54740,-0.914555319,0.086412074,0.255660023,-0.175083036,0.705232973,0.887949684,-2.360652879,0.053325229,0.143207448
AT5G54745,0,1,NA,0,1,NA,0,1,NA
AT5G54750,-0.824508751,0.075062896,0.233394192,-0.695923966,0.036231879,0.11801361,-0.084099529,0.689145332,0.845011103
AT5G54760,0.016719774,0.939414064,1,-0.030691397,0.837930431,0.97286747,0.196422214,0.150957047,0.310768392
AT5G54770,-0.658575694,0.137485229,0.344018304,-1.014091641,5.10E-05,0.000489673,-1.218792599,3.49E-07,4.17E-06
AT5G54780,0.277973722,0.654113641,0.88137058,0.715327712,0.05269875,0.156401297,0.185125646,0.589957629,0.771508475
AT5G08265,0,1,NA,0,1,NA,0,1,NA
AT5G54790,2.984590437,0.037548573,0.146419365,-0.651900352,0.626582485,0.829787153,-2.304976032,0.070037392,0.175876758
AT5G54800,-0.471837968,0.114599256,0.304845438,-0.580716552,0.010699604,0.045401495,-0.556269251,0.0098232,0.036821166
AT5G54810,0.592167337,0.002777435,0.020334143,-0.120493641,0.362132688,0.598941931,-0.38273803,7.08E-05,0.000512973
AT5G54820,0,1,NA,0,1,NA,0,1,NA
AT5G54830,-0.489264246,0.170694816,0.394559289,-0.132735331,0.580503712,0.798573013,-0.476108273,0.104121824,0.237535512
AT5G54840,1.499911266,0.000830304,0.007295383,1.527161401,1.07E-06,1.56E-05,0.916526875,0.022305129,0.071416776
AT5G54850,-0.218924699,0.794816193,0.973744526,0.466058738,0.303031062,0.533502422,1.174767127,0.005482164,0.022576826
AT5G54855,-0.388225136,0.485417292,0.743713072,0.503103108,0.097642501,0.246411467,1.027285566,0.00055862,0.003178971
AT5G54860,0.480178968,0.385385432,0.649769851,0.548461222,0.13714836,0.316561365,0.137934124,0.73710542,0.877949098
AT5G54865,5.808143253,0.017395762,0.084657898,0,1,1,3.139215561,0.198652347,0.37773494
AT5G54870,-0.348021127,0.268537273,0.523620264,-0.416954963,0.027765527,0.09586642,0.045684004,0.864367916,0.960116068
AT5G54880,-1.649949699,0.167053737,0.389230563,-0.541046299,0.428114291,0.661633565,0.222109678,0.61863109,0.7939598
AT5G54890,1.419359362,0.025374476,0.110685958,0.600201853,0.262652041,0.485329632,-0.391807801,0.448349637,0.648539875
AT5G54900,-1.858752922,5.60E-05,0.000686947,-0.681744329,0.000282581,0.00218091,-0.796290848,4.42E-08,6.31E-07
AT5G54910,-0.241320756,0.68809907,0.905267672,-0.831970994,0.04197469,0.131679256,-0.633262116,0.033982705,0.100199942
AT5G54920,-2.357718622,0.047828757,0.172020105,0.149918048,0.698625002,0.883142246,-0.840327313,0.029081595,0.088559945
AT5G54930,0.378486498,0.655816031,0.88259693,0.346110218,0.327840141,0.561128656,-0.238438087,0.58112617,0.764267208
AT5G54940,-0.067484232,0.728669649,0.931128087,0.429906324,0.001377914,0.008493033,0.488918087,0.001116294,0.005804207
AT5G54950,4.846355681,0.008419631,0.048526769,3.173668653,0.084456925,0.22111353,2.177424546,0.23650209,NA
AT5G54960,-0.294295437,0.572081136,0.818229849,-0.763502564,0.000358754,0.002696919,-1.209237474,1.22E-06,1.31E-05
AT5G54970,-1.32620194,0.197229132,0.431946024,-0.678992007,0.159377794,0.350154513,-0.979509415,0.003805341,0.016571254
AT5G54980,-0.949972169,0.195703999,0.429989139,0.557641652,0.039748092,0.126501323,0.606312524,0.064865608,0.16601924
AT5G54990,0,1,NA,0,1,NA,0,1,NA
AT5G55000,-0.963696385,0.106142333,0.290592623,-0.365057572,0.314674477,0.546589656,0.106955473,0.724619034,0.869393295
AT5G55010,4.846155423,0.601318084,NA,2.211782188,0.811515503,NA,0,1,NA
AT5G55020,4.846342529,0.102537192,NA,4.135452496,0.163563752,NA,2.177418636,0.463225028,NA
AT5G55040,0.165296462,0.541576812,0.793475764,-0.138538353,0.507606609,0.734596317,-0.791459266,0.000337314,0.002034133
AT5G55050,-0.657817931,0.15362329,0.369085032,-0.233706999,0.435824779,0.669361176,0.064322336,0.851808099,0.9531739
AT5G55045,0,1,NA,0,1,NA,0,1,NA
AT5G55055,0,1,NA,0,1,NA,0,1,NA
AT5G55060,0.664354482,0.065124666,0.212165005,0.624905053,0.02167259,0.078917926,0.485686317,0.070296956,0.176334577
AT5G55070,-1.445840558,8.35E-06,0.000123918,-0.833379256,5.74E-06,7.06E-05,-0.893324953,1.24E-09,2.21E-08
AT5G55080,0,1,NA,0,1,NA,0,1,NA
AT5G55090,-1.523009146,0.203369873,0.440000523,-0.840704754,0.334274314,0.568291948,-2.304045896,0.059674604,0.156004048
AT5G55100,1.77319315,5.27E-13,2.09E-11,1.495779194,1.99E-13,8.33E-12,1.370399809,1.32E-12,3.69E-11
AT5G55110,0.051781308,0.966759443,1,-0.264450261,0.811247207,0.958902421,0.33712301,0.689926392,0.845419343
AT5G55120,2.279816168,1.25E-27,1.48E-25,0.673711689,3.76E-06,4.85E-05,0.859815271,2.40E-09,4.10E-08
AT5G55125,-0.436190408,0.606446969,0.846028834,-0.38202661,0.459106435,0.690719682,0.127474251,0.675072623,0.834423952
AT5G55130,-0.260803256,0.615429773,0.852886842,-0.147736574,0.649282001,0.845799094,-0.277079631,0.331691056,0.53289252
AT5G55131,0,1,NA,0,1,NA,0,1,NA
AT5G55132,0,1,NA,0,1,NA,0,1,NA
AT5G55135,2.075167608,0.719941214,NA,0,1,NA,0,1,NA
AT5G55140,-0.626823245,0.391085612,0.656029614,0.406420052,0.224985645,0.439179651,0.400840124,0.146349357,0.30402591
AT5G55150,4.846357133,0.003678887,0.025555316,0,1,1,0,1,1
AT5G55160,0.797142003,0.001293573,0.0107211,0.294275294,0.111591958,0.271683871,0.578900748,9.33E-05,0.000656725
AT5G55170,0.921693224,0.212550121,0.452136067,-0.100286461,0.895716533,1,1.124269295,0.091152535,0.21439856
AT5G55180,-2.033259833,0.001691259,0.01346783,-0.82429143,0.001392313,0.008567114,-0.069186976,0.814388213,0.933914945
AT5G55190,-0.565563971,0.024462859,0.107877859,-0.677061104,9.92E-05,0.000873524,-0.740034609,1.66E-08,2.54E-07
AT5G55200,-3.371187448,0.004418629,0.02925003,0.398010947,0.194827698,0.400972593,-0.93327581,0.006735611,0.026811773
AT5G55210,-0.498753586,0.404205219,0.668144355,-0.062922913,0.830138334,0.968465537,-0.146809609,0.610167334,0.786894984
AT5G55220,-0.41418683,0.104150612,0.287227945,-1.012758277,1.45E-09,3.56E-08,-0.802648546,7.50E-10,1.39E-08
AT5G55230,-0.321313006,0.222096912,0.465157852,-0.768061386,1.37E-05,0.000152699,-0.395300272,0.001986108,0.009566937
AT5G55240,0.172472064,0.891142964,1,0.03411468,0.980430726,1,0,1,1
AT5G55250,0.161076811,0.878625101,1,-0.830546174,0.350179709,0.585514905,-1.334151825,0.130114951,0.279790115
AT5G55260,1.747192828,2.77E-05,0.000368249,0.986310102,0.000669844,0.004607873,1.515592562,3.12E-08,4.56E-07
AT5G55270,2.969931685,0.03605193,0.142528532,2.21187415,0.191921578,0.397446144,0.241698075,0.854833944,0.954170534
AT5G55280,-1.262059246,0.082154023,0.247610429,-0.548003025,0.049486466,0.149516712,-0.84164716,9.65E-08,1.29E-06
AT5G55290,0.053219256,0.890345358,1,1.368097929,5.28E-09,1.18E-07,1.282397689,1.00E-08,1.57E-07
AT5G55300,0.02367546,0.922856731,1,-0.161118286,0.34209367,0.577515188,-0.010402912,0.945157306,1
AT5G55310,-0.667378194,0.063813436,0.209090668,-0.218924559,0.265896288,0.489446347,-0.062540132,0.714653437,0.863034422
AT5G55320,0,1,NA,0,1,NA,0,1,NA
AT5G55330,2.618058515,0.670895469,NA,4.135390216,0.507467882,NA,2.177385844,0.7271095,NA
AT5G55340,0.631769087,0.607004644,0.84652009,0.578829915,0.484191358,0.711999563,2.717212059,0.016287938,0.055560574
AT5G55350,2.61241097,0.103945527,0.286721507,2.211873393,0.240910697,NA,2.177424356,0.248316134,NA
AT5G55360,0,1,NA,0,1,NA,0,1,NA
AT5G55370,1.019977094,0.404694718,0.668690968,0.815812615,0.466152327,0.696571827,0.659190962,0.620813327,0.795382464
AT5G55380,-1.202679632,0.317937499,0.581005735,0.715093886,0.285574209,0.511875615,-0.143710743,0.823963174,0.94029488
AT5G55390,0.284054788,0.270911673,0.526025083,0.550926836,0.001465984,0.008962469,-0.100003378,0.596349717,0.776219996
AT5G55400,0.653199692,0.076492466,0.235850954,0.505268196,0.03472596,0.114201262,-0.2417038,0.299046852,0.496043931
AT5G55410,-1.005487471,0.415620518,0.679092499,1.1360834,0.33307087,0.566803235,2.107476236,0.049973003,0.136563045
AT5G55420,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT5G55430,4.846155423,0.601318084,NA,0,1,NA,0,1,NA
AT5G55440,0,1,NA,0,1,NA,0,1,NA
AT5G55450,2.641401984,0.051245993,0.180379688,0.126840637,0.921376923,1,-0.244630442,0.509535102,0.70303321
AT5G08275,3.249898718,0.123447338,0.321227395,2.364812423,0.286036972,0.512486299,2.141148027,0.285219995,0.479860581
AT5G55460,2.672063207,0.155824746,0.372860729,0,1,NA,2.238380913,0.271907393,NA
AT5G08285,2.61488906,0.094724368,0.27116118,0.385404531,0.810398629,0.958467378,0.708676373,0.668368215,NA
AT5G55470,0.22635819,0.826525618,0.99366272,0.594505841,0.317047354,0.549091569,-1.340191704,0.270437105,0.463353247
AT5G55480,-1.526093314,2.14E-05,0.000291842,-0.806130974,3.20E-05,0.000324609,-0.789614051,0.002064578,0.009899998
AT5G55490,1.53508896,0.296534035,0.556185934,1.366901111,0.432537283,0.666417839,-0.303333685,0.841938628,0.950130329
AT5G55500,0.4540944,0.130327174,0.331989107,-0.03862961,0.876173185,0.994578168,0.669327255,0.008581582,0.032832419
AT5G55505,0,1,NA,0,1,NA,0,1,NA
AT5G55507,0,1,NA,1.291810056,0.889006339,NA,0,1,NA
AT5G55508,0,1,NA,0,1,NA,0,1,NA
AT5G55510,-0.547702039,0.518639515,0.773130694,0.171249336,0.649506333,0.846047575,-0.27752261,0.372492057,0.576188696
AT5G55520,-1.933440974,0.102455283,0.284017305,0.142998544,0.72192788,0.898300086,-1.088219711,0.005193213,0.021583436
AT5G55530,0.243443267,0.251416761,0.503304128,-0.032831041,0.841447921,0.974789059,-0.427605301,0.022024595,0.070703989
AT5G55540,-0.410335062,0.223404898,0.46680031,-0.396169103,0.054345116,0.159986891,-0.455655849,0.016009498,0.054817546
AT5G55550,0.189726403,0.659597111,0.885190381,0.715029006,0.017793131,0.067483704,0.894062362,0.000674859,0.003740754
AT5G55560,0.891323837,0.236645108,0.484359075,0.322162231,0.651390066,0.847405864,0.870438572,0.232951901,0.419406177
AT5G55565,0,1,NA,0,1,NA,0,1,NA
AT5G55570,0,1,1,-0.437648404,0.742081813,0.911802894,0.887818657,0.333915252,0.535233291
AT5G55580,0.663890654,0.075806896,0.23461429,0.179209569,0.472841838,0.70190682,0.091287471,0.640236371,0.809177806
AT5G55590,1.630335709,0.319599375,0.582580479,1.445790375,0.445658223,0.678853368,0.719156225,0.686658503,NA
AT5G55600,0.941550923,0.000102051,0.001174074,0.950688123,5.96E-08,1.12E-06,0.577844759,0.002851666,0.012961491
AT5G55610,-0.562735992,0.164188916,0.385149184,-0.314692472,0.198170144,0.405301949,-0.405594,0.051799384,0.140282337
AT5G55620,0.394298721,0.641770344,0.872598524,-0.437017486,0.165195729,0.358915889,-0.015559307,0.955805726,1
