Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
AT5G56040,-0.794122601,0.000412377,0.003994827,-0.08756456,0.555186534,0.775647717,-0.189216358,0.296472206,0.493307221
AT5G56050,-0.84028052,0.497921378,0.755638569,-0.130555659,0.905880128,1,1.127646114,0.343517578,0.545347953
AT5G56060,0,1,NA,0,1,NA,1.19549758,0.897197579,NA
AT5G56061,0,1,NA,0,1,NA,0,1,NA
AT5G56070,0,1,NA,0,1,NA,0,1,NA
AT5G56075,0,1,NA,0,1,NA,1.3032143,0.888042827,NA
AT5G56080,0.840950289,0.214983143,0.455215355,1.309521583,0.007199274,0.033185161,0.047302235,0.929957324,1
AT5G56090,1.345675339,0.001640356,0.013119409,0.188943876,0.447250165,0.680485402,0.13135966,0.646823684,0.813980402
AT5G56100,0.931808539,0.022580199,0.102326571,0.084025123,0.794763668,0.949217313,0.866578586,0.014108685,0.049453312
AT5G56110,4.846155423,0.601318084,NA,0,1,NA,0,1,NA
AT5G56120,-0.551642669,0.594944384,0.837344212,-0.662469898,0.332621773,0.566246023,0.00903186,0.981568248,1
AT5G56130,-0.37697918,0.568455349,0.815604543,-0.609942674,0.122070749,0.291201158,-0.897096387,0.009489822,0.03574163
AT5G56140,1.655203001,2.86E-15,1.39E-13,0.846554852,1.94E-05,0.000208814,0.624387962,0.001057312,0.005544754
AT5G56150,-1.50672596,0.011448684,0.061839084,-0.160054142,0.530526232,0.75471461,-0.606767546,0.038493478,0.110719195
AT5G56160,0.647112724,0.449811871,0.711749021,1.069299008,0.053334745,0.157898174,-1.398690403,0.251963093,0.442343517
AT5G56170,-0.345619423,0.265252532,0.519488495,0.246940981,0.249930691,0.470096621,0.304991536,0.197017862,0.375680213
AT5G56180,-0.217159487,0.579403416,0.824004105,-0.140345006,0.612397866,0.820187923,-0.379069275,0.254172197,0.444930217
AT5G56190,-0.052384839,0.886637583,1,0.852704189,4.52E-06,5.72E-05,-0.023745958,0.915426421,0.991464727
AT5G56200,1.390849201,0.427741486,0.691571877,1.466407955,0.465186177,0.695831897,1.291037975,0.515693571,NA
AT5G56210,1.619751622,6.54E-05,0.0007912,0.666015385,0.069983008,0.192650197,1.042967827,0.000289291,0.001779251
AT5G08435,0,1,NA,0,1,NA,0,1,NA
AT5G56220,0.016336555,0.95870483,1,0.362174153,0.144100241,0.32723602,-0.305928949,0.105804331,0.24049752
AT5G08445,3.610827534,0.007905948,0.046132986,1.574896972,0.18293779,0.386220739,2.886937191,1.90E-06,1.97E-05
AT5G56230,3.124141107,0.001363224,0.011218378,2.306390135,0.020078983,0.074300738,-0.755815337,0.558431305,0.745623512
AT5G56240,-0.227610173,0.3558486,0.620270163,0.153428855,0.253535428,0.474443174,-0.125522555,0.368131731,0.571471325
AT5G56250,-0.353806232,0.470968332,0.73134396,0.05060183,0.861459561,0.98623104,-0.059629592,0.812132496,0.932247621
AT5G08455,0,1,NA,0,1,NA,0,1,NA
AT5G56260,0.428137888,0.360794267,0.625262919,0.522261139,0.051558296,0.154069399,0.64533931,0.00154141,0.007689465
AT5G56270,0.03251262,0.941677903,1,0.193167061,0.599695869,0.813337926,-0.238219514,0.489911967,0.686272635
AT5G56280,-0.061408368,0.890091327,1,-0.374033334,0.218345158,0.430520732,-0.412900373,0.082331563,0.198214334
AT5G56290,0.574350971,0.002562488,0.019031456,-0.216547515,0.19908093,0.406599357,-0.220456454,0.112436536,0.251222813
AT5G08465,0,1,NA,0,1,NA,0,1,NA
AT5G08475,0,1,NA,0,1,NA,0,1,NA
AT5G56300,2.660560399,0.101261873,0.28199549,-0.042122154,0.979224809,NA,2.035098609,0.141989076,NA
AT5G56310,-0.303194826,0.803712849,0.979259498,0.88766742,0.282313379,0.508018882,0.611939463,0.256826846,0.447860384
AT5G56320,-0.279364609,0.612820097,0.850637055,0.118358312,0.78213929,0.939619002,0.000952314,0.997908756,1
AT5G08485,0,1,NA,0,1,NA,0,1,NA
AT5G56325,0,1,NA,0,1,NA,0,1,NA
AT5G56330,0,1,NA,0,1,NA,0,1,NA
AT5G56340,0.262437605,0.453443803,0.714758103,0.281808861,0.301113486,0.531300193,0.11333994,0.667328115,0.829118327
AT5G56350,-1.137117294,5.21E-05,0.000643677,-0.598050635,5.68E-05,0.000537201,-1.589003988,1.42E-18,8.12E-17
AT5G56360,-0.108636958,0.69984768,0.912637772,-0.564802131,0.010675937,0.045321459,-0.39224075,0.05538359,0.147373704
AT5G56365,0,1,NA,0,1,NA,0,1,NA
AT5G08495,0.74602642,0.284796945,0.542312935,2.35689252,4.57E-07,7.32E-06,2.757503252,2.31E-11,5.32E-10
AT5G08515,3.765445942,3.84E-08,8.65E-07,1.97477033,0.026571006,0.092782421,0.488668536,0.318017785,0.518187539
AT5G08525,1.739996321,0.165583028,0.387093943,2.400574275,0.027480315,0.095181714,1.844199144,0.003489681,0.01542497
AT5G56367,0,1,1,0,1,1,2.177417528,0.487345756,0.684273796
AT5G56368,0,1,NA,0,1,NA,0,1,NA
AT5G56369,0,1,NA,0,1,NA,0,1,NA
AT5G56370,0.566516546,0.646175377,0.875350411,1.099884721,0.19984666,0.407473671,-0.037264812,0.96786021,1
AT5G56380,1.76849976,0.000820688,0.007222757,2.881108476,1.72E-15,9.41E-14,1.805374429,1.25E-08,1.94E-07
AT5G56390,0,1,NA,0,1,NA,0,1,NA
AT5G56400,0,1,NA,0,1,NA,0,1,NA
AT5G56410,0,1,NA,0,1,NA,0,1,NA
AT5G56420,0.14135941,0.831972085,0.996963321,0.317791007,0.464510319,0.695399029,0.121404967,0.793336794,0.919019187
AT5G56430,0,1,NA,0,1,NA,0,1,NA
AT5G56440,0,1,NA,0,1,NA,0,1,NA
AT5G56450,-0.387284036,0.647471814,0.876263105,0.482188476,0.28222445,0.508018882,0.436441191,0.295656376,0.492498413
AT5G56452,0,1,NA,0,1,NA,0,1,NA
AT5G56460,-0.059204827,0.903495369,1,-0.81716425,0.042136165,0.132103563,0.686881027,0.028198145,0.086290778
AT5G56470,0,1,NA,0,1,NA,0,1,NA
AT5G56480,0,1,NA,0,1,NA,0,1,NA
AT5G56490,3.023819042,0.067117635,0.216782339,0.056299206,0.972231524,1,-0.527742567,0.737460052,0.878197527
AT5G56500,-2.158039704,0.002866287,0.020864668,-0.205576002,0.368377016,0.605707632,-1.132150544,4.33E-08,6.18E-07
AT5G56510,3.480427763,0.125210466,0.324394595,0,1,NA,0.277140326,0.900537271,NA
AT5G08575,0,1,NA,0,1,NA,0,1,NA
AT5G56520,1.568327708,0.002888878,0.020994816,1.520153507,0.001643973,0.009821037,0.218614038,0.77648787,0.906724466
AT5G08585,0,1,NA,0,1,NA,0,1,NA
AT5G56530,-0.064626118,0.885827036,1,-0.235624043,0.525040342,0.749962038,-0.596303209,0.135423058,0.287682687
AT5G56540,0.325228974,0.311520337,0.573704072,0.48820981,0.150835645,0.337482454,0.856110196,0.001744552,0.008556503
AT5G56544,0,1,NA,0,1,NA,0,1,NA
AT5G56550,0.865798688,0.000356448,0.003507679,0.56780926,0.03601021,0.117458657,1.185770809,1.31E-08,2.03E-07
AT5G08595,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT5G56555,4.846155423,0.601318084,NA,0,1,NA,2.177334571,0.814397116,NA
AT5G56560,0,1,NA,0,1,NA,0,1,NA
AT5G56570,0,1,NA,0,1,NA,0,1,NA
AT5G56580,-1.978760388,0.098590188,0.277825239,-1.182116526,0.176038934,0.375810083,0.114077953,0.791801971,0.917929386
AT5G56590,-0.4589808,0.482023705,0.741128801,0.040963706,0.895625496,1,0.027016109,0.947839008,1
AT5G56600,0.153502185,0.79691682,0.974886467,-0.709088738,0.101638865,0.25339435,-0.375586621,0.151900078,0.312160247
AT5G56605,0,1,NA,0,1,NA,0,1,NA
AT5G56610,0.655373975,0.439313109,0.70175138,1.734054044,9.07E-05,0.000809793,1.191411356,0.002861935,0.01299694
AT5G56620,0.027740398,0.982997252,1,0.612844128,0.471463501,0.70075441,-0.464490543,0.691458271,0.846452252
AT5G08605,4.097834335,0.658165223,NA,0,1,NA,0,1,NA
AT5G56630,0.24441021,0.413758989,0.677818398,-0.136529439,0.561910513,0.781579113,-0.181718088,0.355972639,0.559193694
AT5G56640,1.912110382,0.491790367,NA,2.211867521,0.457611779,NA,0,1,NA
AT5G56650,-0.536498849,0.246927371,0.497807059,0.32582248,0.186292494,0.39035383,0.370069849,0.208005207,0.389155094
AT5G56660,-0.457300671,0.32149304,0.583655369,0.221922918,0.434103844,0.667871728,-0.068220813,0.867393103,0.961202569
AT5G08615,4.846155423,0.601318084,NA,0,1,NA,0,1,NA
AT5G56670,-0.56919583,0.034698778,0.138738035,-0.578961083,0.000199192,0.001608281,-0.105158988,0.340620004,0.54213667
AT5G56680,-0.493498726,0.097358465,0.275770392,-0.271878525,0.135894583,0.314585594,-0.733104296,5.54E-06,5.19E-05
AT5G56690,0,1,NA,0,1,NA,0,1,NA
AT5G56700,4.846352969,0.022375144,0.101673051,0,1,1,2.84096166,0.095886486,NA
AT5G56710,-0.591944557,0.005695517,0.035554762,-0.599739065,8.69E-06,0.000102466,-0.491965353,3.43E-06,3.36E-05
AT5G56720,0.885524456,0.403415446,0.667407008,-0.511147838,0.631944346,0.832818289,1.676216013,0.053833584,0.144255337
AT5G56730,-3.21774807,0.006437495,0.039144713,-0.239918893,0.34157038,0.576943943,-0.454587604,0.060160348,0.156971065
AT5G56740,0.167839795,0.7376206,0.937747229,-0.250412453,0.406238429,0.642326906,-0.702517539,0.014306754,0.05001117
AT5G56745,0,1,1,0,1,1,2.177424986,0.207104805,0.387797394
AT5G56747,1.395196868,0.060383155,0.201556107,1.86756665,0.004252826,0.021476984,1.708396165,0.002757001,0.012598363
AT5G56750,1.892876551,1.92E-18,1.23E-16,1.77374066,7.90E-28,1.23E-25,1.676023643,2.77E-18,1.51E-16
AT5G56760,0.167062619,0.538090445,0.790360063,0.205456487,0.220130062,0.432921883,0.383205171,0.017759088,0.059449362
AT5G56770,0,1,NA,0,1,NA,0,1,NA
AT5G56780,1.29955563,0.006004372,0.03708452,0.422620659,0.300098282,0.529989892,0.51748511,0.138335655,0.292006741
AT5G56790,-0.27825984,0.56703631,0.814599958,0.782183006,0.000346667,0.002618559,0.104238983,0.65970681,0.823971112
AT5G56795,0.076978374,0.941475435,1,0.975112093,0.387348035,0.625572789,-1.193116575,0.261753836,0.453183252
AT5G56800,0,1,NA,0,1,NA,0,1,NA
AT5G56810,0.580948326,0.643891596,0.873894903,0.128875947,0.921512746,1,0.962560941,0.408770405,0.612365605
AT5G56820,0,1,NA,0,1,NA,0,1,NA
AT5G56830,4.846253493,0.472736005,NA,2.211826947,0.743130574,NA,2.177378633,0.746993249,NA
AT5G56840,0,1,1,-0.444782158,0.786599084,0.942766541,0.329228521,0.804280004,0.926719119
AT5G56850,-0.672982913,0.57210644,0.818229849,1.189321768,8.93E-09,1.92E-07,0.373017362,0.055443659,0.147501398
AT5G56860,0.078510591,0.81155617,0.98424101,0.512731197,0.003070068,0.016475946,0.447789617,0.004071562,0.017565549
AT5G08645,0,1,NA,0,1,NA,0,1,NA
AT5G08635,0,1,1,0,1,1,4.101009742,0.088352479,NA
AT5G08655,0,1,NA,0,1,NA,0,1,NA
AT5G08665,0,1,NA,0,1,NA,0,1,NA
AT5G56870,-0.738028743,7.25E-09,1.81E-07,-0.417281408,0.002373483,0.013353439,-0.1612756,0.283672118,0.478311035
AT5G56880,0.958771626,0.447030255,0.70892392,1.310030942,0.359853816,0.595955393,-0.52437933,0.697517908,0.850857823
AT5G56890,-1.234209117,0.012599673,0.066405962,0.125505145,0.54229436,0.764077253,-0.10036877,0.649684861,0.816100177
AT5G56900,1.189738719,3.97E-06,6.28E-05,0.635662274,0.007178611,0.033120218,0.183091254,0.389183507,0.593176885
AT5G56910,0.113173896,0.863163879,1,0.03018314,0.942138514,1,0.176406505,0.625151831,0.799054193
AT5G56920,0,1,NA,0,1,NA,0,1,NA
AT5G56930,1.213549801,0.007092478,0.042307629,1.258941289,9.67E-05,0.000856165,0.698117097,0.028046798,0.085946118
AT5G56940,-0.483426087,0.388850155,0.653844459,-0.540392131,0.136503963,0.31550338,-0.629412371,0.015820455,0.054292068
AT5G56950,-0.052865986,0.862697976,1,-0.280726975,0.055323942,0.162242773,-0.06780124,0.576959418,0.760951855
AT5G56960,0,1,NA,0,1,NA,2.177418607,0.463914519,NA
AT5G56970,0.939671646,0.482636061,0.741544473,2.121431535,0.114877906,0.277564678,-0.584366631,0.663929215,0.827015592
AT5G08685,0,1,NA,0,1,NA,0,1,NA
AT5G56975,0,1,NA,0,1,NA,0,1,NA
AT5G56980,-0.534809533,0.034449757,0.138031342,0.120378793,0.417813986,0.653249262,-0.066152361,0.779223567,0.90894419
AT5G56985,1.087666852,0.500617288,0.757884855,2.211873068,0.259704209,0.48162855,0.658269784,0.710244107,0.86003057
AT5G56990,1.824948023,0.181999546,0.409744178,3.170081334,0.037778441,0.121635572,2.177424941,0.210212273,0.391872863
AT5G57000,-0.776148846,0.453938037,0.715241988,0.873135672,0.133262649,0.310145915,0.336156682,0.492271084,0.688248798
AT5G57010,2.552393922,0.003978591,0.02704006,0.564964587,0.605834673,0.81670498,1.0086827,0.280879297,0.4752758
AT5G57015,0.443626724,0.133292987,0.337390381,0.095553221,0.648346087,0.845262796,-0.363007309,0.101011276,0.231934581
AT5G57020,0.384229046,0.039592698,0.151421822,-0.128850399,0.394327527,0.63162108,-0.396920922,0.003659615,0.016042519
AT5G57030,-0.034367659,0.912365691,1,-0.089176224,0.60130242,0.814172329,-0.134664779,0.372982667,0.576727208
AT5G57035,-0.014326461,0.968845568,1,0.893334501,6.71E-06,8.13E-05,-0.028962872,0.91422301,0.991141541
AT5G57040,0.747071093,0.109039066,0.295497416,0.686623055,0.002715859,0.014869635,0.493550967,0.005908689,0.024033395
AT5G57050,0.824729187,0.005648357,0.035309826,1.215338733,7.17E-08,1.33E-06,0.753246667,0.051062276,0.138869723
AT5G57060,0.068475136,0.916522202,1,0.443323302,0.257270421,0.47891347,-0.069469815,0.870101281,0.962718098
AT5G57070,0.03352282,0.919701261,1,0.178677815,0.446161351,0.67935509,0.812423882,0.008691034,0.033197901
AT5G57080,0.967569982,0.435672057,0.698857918,-1.10755212,0.381424474,0.619256335,1.731306895,0.005113418,0.021313471
AT5G57090,-0.917487673,0.023613273,0.105488401,-0.398773962,0.205415303,0.414400329,-1.130941647,0.004814817,0.020311573
AT5G57100,0.977578105,0.017561897,0.085280138,0.13711502,0.660824646,0.854823542,0.646342168,0.062956141,0.162426046
AT5G57110,-0.623199315,0.000136453,0.001523951,-0.488746848,6.29E-05,0.000588048,-0.509070035,0.001830458,0.008917456
AT5G57120,0.588666948,0.169528872,0.393119191,0.187204796,0.446571646,0.679897638,-0.182529653,0.348024961,0.550299539
AT5G57123,0.970716403,0.448357815,0.710216417,-0.263896461,0.838909224,0.973507944,1.999097674,0.018790685,0.062119166
AT5G08705,0,1,NA,0,1,NA,0,1,NA
AT5G57126,0,1,1,0,1,1,0,1,1
AT5G57130,-1.521318846,0.005659076,0.035368563,-0.586690506,0.006878363,0.031962533,-1.068896115,0.00018213,0.001185882
AT5G57140,1.211860355,0.020760926,0.096059612,1.54087529,1.91E-05,0.00020584,1.096559329,0.015038773,0.052077964
AT5G57150,-0.287470702,0.515802078,0.771021329,0.61350014,0.001952423,0.011354923,0.729256558,0.003258756,0.014511952
AT5G57160,-1.48150789,0.012495735,0.065949165,-0.791897825,0.035212781,0.115500672,-0.05077263,0.838488537,0.94882502
AT5G57170,0.140055436,0.704980746,0.916026156,-0.267151121,0.197281251,0.404140196,-0.08249468,0.710471911,0.860095476
AT5G57180,0.930999765,1.23E-07,2.58E-06,0.805144134,2.87E-09,6.67E-08,0.489319045,0.001628641,0.008061328
AT5G57190,-1.13324607,0.34773193,0.612228936,0.753242483,0.359238929,0.595328456,0.225397736,0.735540541,0.87672411
AT5G57200,2.322389297,0.137494094,0.344018304,0.818576068,0.627204809,NA,-1.1822967,0.435347149,NA
AT5G57210,0.205096825,0.630712895,0.865276344,-0.081937264,0.768329924,0.92950099,-0.003171386,0.989260303,1
AT5G57220,-0.352927129,0.769475665,0.957025152,-0.698217865,0.572189365,0.791109895,-0.16052216,0.833659147,0.946589258
AT5G57230,-2.014829191,0.090974694,0.263816746,0.398294972,0.506857705,0.733723276,-1.025970062,0.128990682,0.278131887
AT5G57240,-0.27187094,0.160801526,0.380069872,0.302112007,0.207867201,0.417007052,-0.207149622,0.379786728,0.583658312
AT5G57250,0.490962984,0.330457875,0.593501189,0.453496259,0.116543102,0.280678031,-0.54250753,0.117163261,0.259010895
AT5G57260,0.136971888,0.87332419,1,-1.500456699,0.21945558,0.432067645,1.659703523,0.253426396,0.444023559
AT5G57270,-0.054848286,0.906627777,1,-0.219704187,0.50053316,0.727914261,0.568684448,0.042703385,0.120458474
AT5G57280,-0.636525698,0.450890802,0.712498072,-0.719521765,0.105204518,0.260033774,0.08358142,0.770429368,0.902883315
AT5G57290,-0.129623776,0.550569344,0.801599463,-0.306624559,0.085862919,0.223493779,-0.188262979,0.212255479,0.394147239
AT5G57300,0.445864959,0.305620378,0.566433664,0.509331258,0.153185383,0.341343918,-0.149319145,0.57413806,0.758587627
AT5G57320,1.619537985,0.066284778,0.214897067,1.72977772,0.0067922,0.031662159,1.909158404,0.001815953,0.008855628
AT5G57330,-1.203605398,0.002988141,0.021604633,-0.700129444,0.004317997,0.021763636,-0.148716177,0.417313238,0.620516986
AT5G57340,1.240716713,0.002989903,0.021605683,1.187012015,0.003174149,0.016915588,0.885080088,0.025313168,0.078885977
AT5G57345,0.015555449,0.977548539,1,-0.730119918,0.002015162,0.011640436,-0.804802755,1.04E-05,9.15E-05
AT5G57350,-0.230324566,0.421363672,0.685238155,-0.510750244,0.012038706,0.049830272,-0.777216349,0.000153451,0.001019541
AT5G57360,0.078434874,0.788684665,0.969787615,-0.078636653,0.672196552,0.863811831,-0.300781568,0.116462949,0.257930231
AT5G57370,-0.297291304,0.565859743,0.813583134,0.407537109,0.141746842,0.323524934,0.168390915,0.461054544,0.659726254
AT5G57380,4.079332631,0.247901634,0.499120314,2.21186326,0.535144889,NA,0,1,NA
AT5G57390,-1.046148208,0.379657545,0.643791343,0.81630184,0.153329073,0.341513057,0.377785503,0.452905406,0.652731337
AT5G57400,0.154711467,0.900779387,1,1.436012519,0.154376579,0.342866678,-1.415162338,0.272286355,0.465186901
