Gene.ID,FPKM.D.WT,FPKM.DTL12h.WT,FPKM.DTL24h.WT,FPKM.DTL48h.WT,FPKM.DTL24h.u5
AT5G09575,1.556274829,0.485606535,0.215312643,0.24614341,0.47486149
AT5G09580,1.882119871,2.585157757,2.119696311,2.471959966,1.856276734
AT5G09585,0.42897319,0.194695394,0.28487519,0.090462963,0.095193679
AT5G09590,18.69130776,54.75978013,38.93865629,50.50351242,30.07802441
AT5G09595,13.50047024,8.024494951,7.205410642,7.629393162,5.78314682
AT5G09600,12.56752571,12.78038695,12.3556928,13.05042127,9.815564027
AT5G09605,0,0,0,0,0
AT5G09610,0.136920343,2.369208913,1.165001095,0.433111677,0.683641559
AT5G09615,0,0,0,0,0
AT5G09620,54.55860187,62.93951588,41.26872206,30.36903838,37.86387217
AT5G09630,2.840178223,2.129444374,1.799481551,1.661381882,1.737127598
AT5G09635,1.394162868,1.861058914,1.633842999,3.026518232,0.818945618
AT5G09640,1.066572686,0.507130079,0.224855948,0.117816062,0.349390278
AT5G09645,2.331223156,3.474993611,3.28851824,2.072491642,3.195230444
AT5G09650,35.32981059,79.25841772,134.682525,218.8977727,156.6439791
AT5G09660,35.1120353,89.99071059,157.5379046,212.0409055,228.9954693
